Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta
"Ardagh Metal Packaging","AMBP","2032.18","2","11.77","65",".55"
"America Movil, S.A.B. de C.V. Unsponsored ADR","AMX","70159.05","2","3.42","152.94",".88"
"Algonquin Power & Utilities","AQN","4793.28","2","4.17","6.06",".75"
"Banco De Chile","BCH","18299.24","2","4.33","2.22",".28"
"Community Financial System, Inc.","CBU","3004.93","2","3.31","1.36",".79"
"CNA Financial","CNA","12242.25","2","4.07","7.58",".5"
"Canadian Natural Resources Limited","CNQ","66020.03","1","5.4","8.02",".96"
"Dominion Energy","D","52589.32","2","4.34","4.19",".63"
"HF Sinclair","DINO","10067.49","2","3.65","82.03",".99"
"Digital Realty Trust","DLR","58357.48","2","2.87","2.06",".96"
"Federated Hermes","FHI","3835.47","1","2.75","6.19",".83"
"First Horizon","FHN","10931.81","2","2.79","3.05",".7"
"F.N.B.","FNB","5758.84","2","2.99","3.08",".98"
"Fulton Financial","FULT","3210.5","2","4.08","1.05",".88"
"HSBC","HSBC","245925.77","2","2.78","26.09",".64"
"IDACORP","IDA","6995.61","2","2.72","9.93",".59"
"NBT Bancorp","NBTB","2180.12","2","3.56","1.38",".55"
"The Bank of N.T. Butterfield & Son Limited","NTB","2173.03","1","4.37","5.04",".68"
"Omnicom Group","OMC","14334.82","2","3.77","1.44",".94"
"PepsiCo","PEP","195461.28","2","3.98","4.05",".45"
"Portland General Electric","POR","5382.6","2","4.39","5.22",".67"
"Park National","PRK","2511.75","2","2.74","1.22",".76"
"Reynolds Consumer Products","REYN","5233","1","3.7","6.36",".58"
"Telefonica","TEF","23587.87","2","6.01","40",".48"
"United Bankshares","UBSI","5177.21","2","4.05","3.21",".83"
"USA Compression Partners","USAC","2913.78","1","8.84","8.33",".36"
"Viatris","VTRS","11655.91","2","4.74","1.26",".9"
