Company Name,Ticker,Market Cap (mil),Zacks Rank,Div. Yield %,% Change Q1 Est. (4 weeks),Beta,Sector
"Ardagh Metal Packaging","AMBP","2050.11","2","11.66","65",".55","Industrial Products"
"Algonquin Power & Utilities","AQN","4293.98","2","4.65","6.06",".75","Utilities"
"Banco De Chile","BCH","18066.91","2","4.39","2.22",".28","Finance"
"Community Financial System, Inc.","CBU","2996.47","2","3.32","1.36",".79","Finance"
"CNA Financial","CNA","12087.97","2","4.12","7.58",".5","Finance"
"Canadian Natural Resources Limited","CNQ","66478.8","1","5.37","8.02",".96","Oils-Energy"
"Dominion Energy","D","50975.26","2","4.47","4.19",".63","Utilities"
"HF Sinclair","DINO","9749.26","2","3.77","82.03",".99","Oils-Energy"
"Digital Realty Trust","DLR","57199.88","2","2.93","1.74",".96","Finance"
"Federated Hermes","FHI","3894.29","1","2.71","7.51",".83","Finance"
"First Horizon","FHN","10921.65","2","2.79","3.05",".7","Finance"
"F.N.B.","FNB","5696.02","2","3.03","2.56",".98","Finance"
"Fulton Financial","FULT","3206.86","2","4.09","1.05",".88","Finance"
"HSBC","HSBC","244718.06","2","2.79","26.09",".64","Finance"
"IDACORP","IDA","6942.65","2","2.74","9.93",".59","Utilities"
"NBT Bancorp","NBTB","2185.88","2","3.55","1.38",".55","Finance"
"The Bank of N.T. Butterfield & Son Limited","NTB","2218.18","1","4.29","12.31",".68","Finance"
"ONE Gas","OGS","4831.72","2","3.33","1.21",".85","Utilities"
"Omnicom Group","OMC","14164.99","2","3.81","1.44",".94","Business Services"
"PepsiCo","PEP","195338.22","2","3.98","4.05",".45","Consumer Staples"
"Portland General Electric","POR","5351.1","2","4.41","5.22",".67","Utilities"
"Park National","PRK","2497.28","2","2.76","1.22",".76","Finance"
"Reynolds Consumer Products","REYN","5207.76","1","3.72","6.36",".58","Consumer Discretionary"
"The Toronto Dominion Bank","TD","136835.78","2","3.74","1.91",".79","Finance"
"Telefonica","TEF","23587.87","2","6.01","40",".48","Utilities"
"TIM","TIMB","11213.17","1","4.1","7.06",".62","Computer and Technology"
"United Bankshares","UBSI","5164.46","2","4.06","3.21",".83","Finance"
"United Community Banks","UCB","3577.42","2","3.4","1.06",".91","Finance"
"USA Compression Partners","USAC","2875.71","2","8.96","2.86",".36","Oils-Energy"
"Viatris","VTRS","12410.52","2","4.47","3.77",".9","Medical"
