Company Name,Ticker,Zacks Rank,Last Close,Market Cap (mil),This Yr`s Est.d Growth (F(1)/F(0)),% Change Q1 Est. (4 weeks),Zacks Industry Rank,Avg Volume
"Akebia Therapeutics","AKBA","2","2.12","562.11","116.16","100","94","4623750"
"Byrna Technologies","BYRN","2","18.46","419.51","27.42","8","92","651416"
"Diversified Healthcare Trust","DHC","2","4.255","1030.33","312.5","175","72","714393"
"Hanmi Financial","HAFC","2","26.74","805.57","23.09","5.47","30","188105"
"Horizon Bancorp IN","HBNC","2","15.97","814.02","42.55","8.76","44","434228"
"Heritage Financial","HFWA","2","22.49","763.61","15.14","2.4","100","178927"
"Horace Mann Educators","HMN","2","46.75","1902.53","35.38","1.67","66","229197"
"Integra Resources","ITRG","2","2.74","463.29","275.29","22.22","80","2160712"
"Lexeo Therapeutics, Inc.","LXEO","2","8.2","442.81","25.24","9.88","94","1436997"
"MBX Biosciences, Inc.","MBX","2","22.55","757.54","53.69","9.4","99","918360"
"Oruka Therapeutics, Inc.","ORKA","2","27.31","1134.49","38.63","3.08","94","479336"
"Priority Technology","PRTH","2","6.94","554.63","107.84","7.14","92","467393"
"The Real Brokerage","REAX","2","3.79","802.72","67.86","16.67","92","1678185"
"Redwood Trust","RWT","2","5.25","678.42","51.92","17.65","90","1082416"
"Stoke Therapeutics","STOK","2","22.82","1303.41","120.52","4.63","99","1393554"
"Tango Therapeutics","TNGX","2","7.51","1010.8","14.56","8.24","99","4253421"
"TriMas","TRS","2","32.63","1326.27","24.85","2.52","40","488785"
"Weave Communications","WEAV","2","6.76","520.77","66.67","42.86","86","1310526"
"WisdomTree, Inc.","WT","2","11.88","1747.63","25","8.33","86","3121585"
